Politica	ndn-no-cache-no-mob	ndn-no-cache-no-mob-pollution	ndn-with-cache-no-mob	ndn-with-cache-no-mob-pollution 
ProAtivo	0.212137534787683	0.261070582222016	0.383847518347188	0.326243353143572
NaoProativo	0.212137534787683	0.261070582222016	0.336672114151159	0.326243353143572
